cargo,nome_empresa,salario,local,regime_trabalista,beneficios,link,erro,datetime_execution,date_execution
Técnico em TI,Veolink,Faixa salarial a combinar,São Paulo,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Seguro de vida', 'Vale-refeição', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2719547/tecnico-em-ti,,2025-04-25 16:00:06.733112,2025-04-25
Técnico de TI,Veolink,Faixa salarial a combinar,Campinas,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Seguro de vida', 'Vale-alimentação', 'Vale-refeição']",https://www.vagas.com.br/vagas/v2719573/tecnico-de-ti,,2025-04-25 16:00:06.733112,2025-04-25
Assistente de TI,Oceaneering,Faixa salarial a combinar,Niterói,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Auxílio academia', 'Café da manhã', 'Participação nos Lucros ou Resultados', 'Restaurante interno', 'Seguro de vida', 'Vale-refeição', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2722399/assistente-de-ti,,2025-04-25 16:00:06.733112,2025-04-25
Supervisor de TI,Penso Tecnologia,Faixa salarial R$ 6.000 a R$ 7.000,São Paulo,Regime CLT,"['Assistência médica', 'Auxílio combustível', 'Auxílio creche', 'Auxílio desenvolvimento', 'Auxílio estacionamento', 'Auxílio farmácia', 'Convênio com empresas parceiras', 'Programa de remuneração variável', 'Programa de treinamentos', 'Refeitório', 'Sala de Jogos', 'Seguro de vida', 'Vale-refeição', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2716933/supervisor-de-ti,,2025-04-25 16:00:06.733112,2025-04-25
Gerente de TI,Confidencial,Faixa salarial a combinar,Rio de Janeiro,Regime CLT,[],https://www.vagas.com.br/vagas/v2723381/gerente-de-ti,,2025-04-25 16:00:06.733112,2025-04-25
Assistente de TI,Grupo Avante,Faixa salarial a combinar,Congonhas,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Auxílio academia', 'Auxílio fretado', 'Participação nos Lucros ou Resultados', 'Programa de remuneração variável', 'Refeitório', 'Seguro de vida', 'Vale-refeição']",https://www.vagas.com.br/vagas/v2723457/assistente-de-ti,,2025-04-25 16:00:06.733112,2025-04-25
Técnico em Informática,Prestarh,Faixa salarial a combinar,Belo Horizonte,Regime CLT,"['Vale-alimentação', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2723474/tecnico-em-informatica,,2025-04-25 16:00:06.733112,2025-04-25
Assistente de TI,Grupo Avante,Faixa salarial a combinar,Belo Horizonte,Regime CLT,"['Assistência médica', 'Assistência odontológica', 'Auxílio academia', 'Convênio com empresas parceiras', 'Plano de Aquisição de Ações', 'Seguro de vida', 'Vale-alimentação', 'Vale-refeição', 'Vale-transporte']",https://www.vagas.com.br/vagas/v2723464/assistente-de-ti,,2025-04-25 16:00:06.733112,2025-04-25
,,,,,[],https://www.vagas.com.br/vagas/v2722085/supervisor-de-tecnologia,"Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://www.vagas.com.br/vagas/v2722085/supervisor-de-tecnologia"", waiting until ""domcontentloaded""
",2025-04-25 16:00:06.733112,2025-04-25
Analista de TI,Robert Half,Faixa salarial a combinar,São Paulo,Regime CLT,[],https://www.vagas.com.br/vagas/v2724564/analista-de-ti,,2025-04-25 16:00:06.733112,2025-04-25
